Name,Website,Youtube,About,TrustFactors,Topics,Wikipedia,X
C-Span,https://www.c-span.org/,https://www.youtube.com/@CSPAN,"The C-SPAN networks were created by the cable industry and are offered as a public service to provide access to balanced, commercial-free coverage of the American political process.","The networks are privately funded by the cable industry, without government or taxpayer support.","United States federal government proceedings, U.S. House of Representatives, U.S. Senate, Government hearings, Political events, Historical programming, Non-fiction books, Public policy, U.S. Political campaigns, Republican and Democratic presidential nominating conventions, Libertarian party events, Midterm elections, Congressional hearings, White House press briefings, Presidential speeches, Federal Communications Commission hearings, Pentagon press conferences, State of the Union speeches, Presidential press conferences, Press conferences, National Press Club events, Public policy seminars, White House Correspondents' Dinner, Supreme Court audio recordings, International government proceedings (e.g., Parliament of Australia, Parliament of Canada, Parliament of the United Kingdom), Global news events, Lying in state ceremonies, State funerals, Natural disaster coverage, Space Shuttle mission launches",https://en.wikipedia.org/wiki/C-SPAN,https://twitter.com/cspan
Chalkbeat,https://www.chalkbeat.org/,https://www.youtube.com/@Chalkbeat,Education,Nonprofit. Funded by donations and grants.,"Education policy, Teacher effectiveness, COVID-19 impact",https://en.wikipedia.org/wiki/Chalkbeat,https://twitter.com/Chalkbeat
Common Dreams,https://www.commondreams.org/,https://www.youtube.com/@commondreams8256,US and world news,"501(c)(3) nonprofit. Reader supported, small donations. No ads, no corporate or government funds. Social justice viewpoint.","Social justice, Climate, Politics",https://en.wikipedia.org/wiki/Common_Dreams,https://twitter.com/commondreams
Consortium News,https://consortiumnews.com/,https://www.youtube.com/@consortiumnews8744,"Since 1995, as the first investigative news magazine based on the Internet, Consortiumnews.com has managed to produce groundbreaking journalism on many of the most significant issues of the day, including national security, foreign policy, politics and the environment. ","Pioneer in investigative journalism on the internet, has established credibility through its long-standing presence since 1995. They are known for their detailed reporting on complex issues like advanced technologies, American empire, and political corruption. Their commitment to in-depth investigative journalism and focus on historically significant political and social issues contribute to their trustworthiness. ","Advanced technologies, American empire, Politics, Human rights, Climate change, Foreign policy, Historical analysis, Military and militarism, Media analysis, Legal issues, Political commentary, Global news",https://en.wikipedia.org/wiki/Consortiumnews.com,https://twitter.com/Consortiumnews
Counter Currents,https://countercurrents.org,https://www.youtube.com/user/CCMEDIACHANNEL,"Humanity faces threats like climate change, resource depletion, rising food and fuel prices, hunger, natural calamities, water scarcity, debt crisis, unemployment, social tensions, human rights violations, and ecological degradation. Countercurrents.org aims to raise awareness about these crises and find solutions, advocating for the end of energy-intensive globalization, replacing it with low energy, sustainable local economies, and an equitable distribution of resources. They focus on issues like Climate Change, Peak oil, Palestine, Iraq, Syria, and question capitalism and consumerism, promoting a sustainable ecological economy and wealth distribution.","Owned and edited by Binu Mathew. It is a news and opinion website based in India, founded in 2001. The site is known for its progressive left perspective and is non-commercial. It is mostly factual in its reporting, with a high credibility rating, despite being one-sided in its editorial positions","Progressive News, Human Rights, Environmentalism, Climate Change, Social Justice, India News, Global South",https://en.wikipedia.org/wiki/Countercurrents.org,https://twitter.com/Countercurrents
CounterPunch,https://www.counterpunch.org,n/a,"Independent left-leaning articles on various topics, including special segments and weekend editions, with a history of publishing books and a newsletter/magazine.","Owned by The Institute for the Advancement of Journalistic Clarity. It generates revenue through book sales, donations, grants, and advertising.","Politics, Left-wing politics, Muckraking, US politics, Social issues, Environmental issues, Economic issues, International politics, Civil liberties, Radical viewpoints",https://en.wikipedia.org/wiki/CounterPunch,https://twitter.com/CounterPunch_
Daily Yonder,https://dailyyonder.com/,https://www.youtube.com/@DailyYonder,Rural America,"Nonprofit. Funded by donations, grants, and sponsorships.","Rural communities, agriculture, rural economy, rural healthcare and education",https://en.wikipedia.org/wiki/Daily_Yonder,https://twitter.com/dailyyonder
Democracy in Europe Movement 2025,https://diem25.org,https://www.youtube.com/@DiEM25official,"Democracy in Europe Movement 2025 (DiEM25) is a pan-European political movement and political party founded in 2016 by a group of Europeans, including Yanis Varoufakis and Srećko Horvat. DiEM25 aims to democratize the European Union (EU) and address issues related to transparency, technology, economy, environment, refugees and migrants, culture, post-capitalism, and the European constitutional process. It advocates for a more democratic and transparent EU, and it has gained support from individuals across Europe who share these goals.",501(c)(3) nonprofit,"Israel Palestine conflict, EU politics, pan-Europeanism, post-capitalism, progressivism, democratic socialism, environmentalism, ecofeminism, alter-globalisation​, oligarchies",https://en.wikipedia.org/wiki/Democracy_in_Europe_Movement_2025,https://twitter.com/diem_25
Democracy Now,https://www.democracynow.org/,https://www.youtube.com/@DemocracyNow,"Daily, global, independent news hour with breaking headlines and in-depth interviews on pressing issues, offering diverse and provocative perspectives.","501(c)(3) nonprofit. Audience supported. No ads, underwriting, corporate or government funding.","COP28 Climate Summit, Israel Palestine conflict, Climate crisis, Immigration, Ukraine conflict, Abortion rights, Donald Trump, Gun control, Police brutality, Supreme Court issues",https://en.wikipedia.org/wiki/Democracy_Now!,https://twitter.com/democracynow
Electronic Intifada,https://electronicintifada.org/,https://www.youtube.com/@TheElectronicIntifada,"The Electronic Intifada is an independent online news publication focusing on Palestine, its people, politics, culture, and place in the world. Founded in 2001, it provides a platform for media analysis, criticism, and activism. The site is known for presenting a Palestinian perspective on current events, particularly related to the Israeli-Palestinian conflict.","The Electronic Intifada, as an independent online news publication, operates primarily on funding from reader donations, reflecting a model that supports editorial independence but lacks transparency in financial disclosures. Its ownership is vested in its founders, Ali Abunimah, Arjan El Fassed, Laurie King, and Nigel Parry, ensuring an independent stance with no explicit political or governmental affiliations. The publication is known for its pro-Palestinian perspective, especially in its coverage of the Israeli-Palestinian conflict. This is evident in its story selection and language use, which often exhibit emotional charge and bias. Despite criticisms for one-sided reporting and occasional reliance on poor sources, The Electronic Intifada defends its approach by emphasizing its mission to offer perspectives often underrepresented in mainstream media, asserting its editorial independence and commitment to covering Palestinian issues.","Palestinian perspective, Israeli-Palestinian conflict, pro-Palestinian activism, Middle East politics, Palestine news, Israel occupation, Palestinian culture, Palestinian rights, media analysis, media criticism, international activism, Middle East conflict, humanitarian issues in Palestine, Israeli government policies",https://en.wikipedia.org/wiki/The_Electronic_Intifada,https://twitter.com/intifada
Ensia,https://ensia.com/,https://www.youtube.com/@ensia9074,Environmental solutions,Nonprofit. Funded by donations and grants.,"Climate Change, Biodiversity, Water Issues, Sustainable Energy, Food Systems, Conservation, Environmental Policy, Sustainable Technology, Ecosystems",n/a,https://twitter.com/ensiamedia
Environmental Health News,https://www.ehn.org,https://www.youtube.com/@EnvironmentalHealthNewsEHN,"Advocating good science and journalism in environmental health, focusing on climate change, equity in health, and sustainability, with daily articles and news digests on various environmental health topics.","nonprofit, nonpartisan","Air Pollution, Climate Change, Environmental Disasters, Public Health, Toxicology, Endocrine Disruptors, Water Quality, Environmental Policies, Pollution, Environmental Conservation",https://en.wikipedia.org/wiki/Environmental_Health_News,https://twitter.com/EnvirHealthNews
Fair Observer,https://www.fairobserver.com/,https://www.youtube.com/@FairObserver,"Fair Observer is a section 501(c)(3) nonprofit media organization in the US that educates global citizens both through its journal and its teaching programs. Our crowdsourced multimedia journal, with strong editorial processes, provides a 360° view to help you make sense of the world. Our education and training programs for students, young professionals and business executives cover subjects like journalism, geopolitics, the global economy, diversity and more.",501(c)(3) nonprofit. Reader supported. No ads.,"Politics, Economics & Finance, Business & Entrepreneurship, Art & Culture, Science & Technology, Environment & Climate Change, World Leaders, The Americas, Europe, Middle East & North Africa, Africa, Asia, United States, India, China, Russia",https://en.wikipedia.org/wiki/Fair_Observer,https://twitter.com/FairObserver
Fairness & Accuracy in Reporting (FAIR),https://fair.org,n/a,"Progressive media watchdog challenging corporate media bias and misinformation, advocating for press diversity, exposing neglected news, and supporting structural reform in media.","Nonprofit media criticism organization founded in 1986. It is based in New York City and was founded by Jeff Cohen and Martin A. Lee. FAIR is known for monitoring the U.S. news media for inaccuracy, bias, and censorship, and it advocates for a greater diversity of perspectives in news reporting. The organization opposes corporate ownership of media entities and calls for the break-up of media conglomerates, holding a progressive stance. FAIR's work is funded through donations and a store selling products. The organization is rated as having a left-center bias and high factual reporting by Media Bias/Fact Check, indicating it slightly favors the left politically but is generally trustworthy for information","media criticism, media bias, press freedom, progressive media, censorship, corporate media, media conglomerates, public broadcasting, nonprofit media",https://en.wikipedia.org/wiki/Fairness_and_Accuracy_in_Reporting,https://twitter.com/FAIRmediawatch
Grist,https://grist.org/,https://www.youtube.com/@Grist,Environment and social justice,Nonprofit. Reader supported. Viewpoint: working toward a planet that doesn’t burn and a future that doesn’t suck.,"Environment, Social Justice, Climate Change, Sustainability, Green Living, Environmental News, Eco-friendly Solutions, Clean Energy, Environmental Advocacy",https://en.wikipedia.org/wiki/Grist_(magazine),https://twitter.com/grist
In These Times,https://inthesetimes.com,n/a,"Independent, nonprofit magazine analyzing movements on the American Left, bridging social movements with progressive politics, and offering in-depth investigations and discussions on democracy, economic justice, and policy-making.","Reader-supported, Independent nonprofit news organization, Retains full authority over editorial content, Maintains firewall between news coverage decisions and revenue sources, Accepts gifts, grants, and sponsorships for general support, Ensures editorial control over the coverage, Commits to donor transparency","Progressive Politics, Social Justice, Labor Issues, Economic Inequality, Grassroots Movements, Political Analysis, Environment, Civil Liberties, Activism, Workers' Rights",https://en.wikipedia.org/wiki/In_These_Times,https://twitter.com/InTheseTimesMag
Indian Country Today,https://indiancountrytoday.com/,https://www.youtube.com/@IndianCountryToday,"The Indigenous world, including American Indians and Alaska Natives","Not-for-profit limited liability company. Funded by donations, grants, and advertising.","Indigenous News, American Indians, Alaska Natives, Native Culture, Tribal Sovereignty, Environmental Issues in Native Communities, Indigenous Rights, Native American History, Tribal News",https://en.wikipedia.org/wiki/Indian_Country_Today,https://twitter.com/IndianCountry
Inside Climate News,https://insideclimatenews.org/,https://www.youtube.com/@InsideClimateNews,"Climate change, energy, environment","501(c)(3) nonprofit organization. Funded by donations, grants, and corporate sponsorships. Viewpoint: serving as watchdogs of government, industry and advocacy groups and holding them accountable for their policies and actions.","Climate Change, Environmental Journalism, Energy Policy, Global Warming, Clean Energy Transition, Climate Science, Environmental Impact, Green Technology, Climate Advocacy",https://en.wikipedia.org/wiki/InsideClimate_News,https://twitter.com/insideclimate
Institute for Policy Studies,https://ips-dc.org,https://www.youtube.com/user/InstPolicyStudies,"Progressive multi-issue think tank dedicated to equitable, sustainable, and peaceful societal development, partnering with social movements and influencing policy and research in social justice.","Progressive multi-issue think tank, Independent from governmental funding and corporate influence, Engages in policy research, advocacy, and grassroots activism, Works on local, national, and global levels, Organizes interdisciplinary programs and initiatives, Pioneers in modern politics of ideas, Actively involved in anti-Vietnam War movement, Supports movements against U.S. intervention in Central America, Focuses on economic and racial justice, environmental issues, and peace & foreign policy","Economic Justice, Racial & Gender Justice, Climate Justice, Peace & Foreign Policy",https://en.wikipedia.org/wiki/Institute_for_Policy_Studies,https://twitter.com/IPS_DC
Inter Press Service,http://www.ipsnews.net/,https://www.youtube.com/@ipsnews,World news,Not-for-profit cooperative.,"Development & Aid, Economy & Trade, Environment, Human Rights, Global Governance, Gender",https://en.wikipedia.org/wiki/Inter_Press_Service,https://twitter.com/ipsnews
Katie Halper,https://katiehalper.com,https://www.youtube.com/@TheKatieHalperShow,"Katie Halper is an active youtuber and dedicates most of her time to the Israel Palestine conflict.",individual,"Israel Palestine conflict, progressive politics, political commentary, comedy, feminism, social justice, activism, podcasting, interviews, media criticism, left-wing perspective, Bernie Sanders, healthcare, climate change, income inequality, LGBTQ+ rights, racial justice, feminism, progressive policies.",https://en.wikipedia.org/wiki/Katie_Halper,https://twitter.com/kthalps
Labor Notes,https://labornotes.org/,https://www.youtube.com/@labornotes,US labor news,Nonprofit. Reader supported.,"Organizing strategies, Aggressive approaches to fight concessions, Alliances with worker centers, Member-driven unionism",https://en.wikipedia.org/wiki/Labor_Notes,https://twitter.com/labornotes
LabourStart,https://www.labourstart.org,https://www.youtube.com/@erictlee1,US labor news,Operated by a network of volunteers. Administered by Eric Lee. Funded by donations and advertising.,"International trade union movement, Labor news and campaigns",https://en.wikipedia.org/wiki/LabourStart,https://twitter.com/labourstart
Latino USA,https://www.latinousa.org/,https://www.youtube.com/@LatinoUSA,Latino issues,"Produced by Futuro Media, a nonprofit organization. Funded by donations, grants, and corporate sponsorships.",Latino-focused news and cultural content,https://en.wikipedia.org/wiki/Latino_USA,https://twitter.com/LatinoUSA
Living on Earth,https://loe.org,n/a,"Hosts a weekly environmental news and information program distributed by PRX. It features news, interviews, and commentary on a broad range of ecological issues. The program is associated with the School for the Environment at the University of Massachusetts/Boston.",501(c)(3) nonprofit organization,"Environmental News, Climate Change, Electric Vehicles, Fossil Fuel Industry, Public Health, Wildlife Conservation",https://en.wikipedia.org/wiki/Living_on_Earth,https://twitter.com/loe_org
Mother Jones,http://www.motherjones.com/,https://www.youtube.com/@MotherJones,Mother Jones is a reader-supported nonprofit news organization and the winner of the American Society of Magazine Editors’ 2017 Magazine of the Year Award. Our staff does independent and investigative reporting on everything from politics and climate change to education and food.,"Mother Jones is a nonprofit founded in 1976, primarily supported by reader contributions, focusing on deep investigative journalism on underreported issues, and emphasizing public service rather than corporate interests or advertising revenue","Climate Change, Environmental Sustainability, Social Justice, Voting Rights, Gender Justice, Racial Justice",https://en.wikipedia.org/wiki/Mother_Jones_(magazine),https://twitter.com/motherjones
Next City,https://nextcity.org/,https://www.youtube.com/@NextCityOrg,"U.S. urban affairs. Inspiring greater economic, environmental, and social justice in cities.","Nonprofit. Funded by foundations, individuals, corporate sponsorship, ads, and events.","Economic Justice, Housing, Transportation, Arts & Culture, Environment, Technology, Gentrification, Poverty, Infrastructure, Police, Community Engagement, COVID-19",https://en.wikipedia.org/wiki/Next_City,https://twitter.com/NextCityOrg
Norman Finkelstein,https://normanfinkelstein.com,https://www.youtube.com/@normanfinkelstein-kx5qm,"Norman Finkelstein is an American political scientist, activist, professor, and author, known for his primary fields of research in the Israeli-Palestinian conflict and the politics of the Holocaust. He is a critic of Israeli policies and U.S. foreign policy in the Middle East. Finkelstein's most notable works include ""The Holocaust Industry"" and ""Image and Reality of the Israel-Palestine Conflict."" His views have been both widely supported and heavily criticized, leading to significant debate and controversy in academic and political circles.",individual,"Israel Palestine conflict, cancel culture, academic freedom",https://en.wikipedia.org/wiki/Norman_Finkelstein,https://twitter.com/normfinkelstein
Novara Media,https://novaramedia.com,https://www.youtube.com/@NovaraMedia,"Novara Media is an independent, left-wing alternative media organization based in the United Kingdom. It was founded in 2011 by James Butler and Aaron Bastani. Novara Media focuses on addressing various issues of the 21st century, including matters such as a crisis of capitalism, racism, climate change, and more. It is committed to providing independent and truthful journalism as an alternative to mainstream media. Focuses a lot on the Israel Palestine conflict.","501(c)(3) nonprofit. Audience supported. No ads, underwriting, corporate or government funding.","Israel Palestine conflict, UK news, social justice, politics, activism, media criticism, left-wing perspective, inequality, climate change, capitalism, feminism, anti-racism, progressive movements",https://en.wikipedia.org/wiki/Novara_Media,https://twitter.com/novaramedia
NPR - Politics: Fact Check,https://www.npr.org/sections/politics-fact-check,https://www.youtube.com/@NPR,Facts checked by the staff of National Public Radio,"Founded in 1970 as a nonprofit. Its funding comes primarily from member stations, corporate sponsorships, institutional grants, individual contributions, and fees paid by the Public Radio Satellite System users​","U.S. Politics, Political Fact-Checking, Elections, Policy Analysis, Government Accountability",https://en.wikipedia.org/wiki/NPR,https://twitter.com/NPR
Open Democracy,https://www.opendemocracy.net/,https://www.youtube.com/@_openDemocracy,"openDemocracy is an independent global media platform publishing up to 60 articles a week and attracting over 8 million visits per year. Through reporting and analysis of social and political issues, openDemocracy seeks to challenge power and encourage democratic debate across the world. With human rights as our central guiding focus, we ask tough questions about freedom, justice and democracy.","Nonprofit organization, located in Washington D.C., focused on tracking and publishing data on campaign finance and lobbying. Originally formed from the merger of the Center for Responsive Politics and the National Institute on Money in Politics. Funded through donations, including major donors like the Carnegie Corporation of New York, Democracy Fund, and Google.","Campaign Finance, U.S. Politics, Lobbying, Political Donations, Nonpartisan Analysis",https://en.wikipedia.org/wiki/OpenDemocracy,https://twitter.com/_openDemocracy
Center for Responsive Politics (Open Secrets),https://www.opensecrets.org/,https://www.youtube.com/@OpenSecretsDC,"Money in politics, U.S. politics and economics","Published by the Center for Responsive Politics, a 501(c)(3) nonprofit organization. Funded by donations, grants, and income earned from custom research and licensing data for commercial use. Viewpoint: strengthening democracy by providing information about money’s role in politics.","Campaign finance, U.S. politics, money in elections, political donations, lobbying, soft money contributions, politicians' finances, political organizations, political funding trends, interest groups, non-partisan research, political finance.",https://en.wikipedia.org/wiki/OpenSecrets,https://twitter.com/OpenSecretsDC
Opt Out,https://www.optoutnews.org/,https://www.youtube.com/@OptOutPodcast,US and world news and commentary,"Digital news ecosystem, independent and reliable, alternative to corporate and legacy media. First news aggregation app for exclusively independent media. Project of the OptOut Media Foundation, a 501(c)(3) nonprofit charity. Funded entirely by individual donations and foundation grants, no ads.","Independent Media, Digital News, Alternative Media, Current Events",https://en.wikipedia.org/wiki/Opt_Out_(news_aggregator),https://twitter.com/OptOutNews
Our World in Data,https://ourworldindata.org/,https://www.youtube.com/@ourworldindata3652,Research and data to address global problems,Nonprofit organization. Funded by donations and grants.,"Poverty, Disease, Hunger, Climate Change, War, Existential Risks, Inequality, Health, Education, Violence, Political Power, Human Rights, Poverty, Inequality, Energy, Hunger, Environmental Impact",https://en.wikipedia.org/wiki/Our_World_in_Data,https://twitter.com/OurWorldInData
Owen Jones,https://www.theguardian.com/profile/owen-jones,https://www.youtube.com/@OwenJonesTalks,"Owen Jones is a well-known British journalist and political commentator who has gained prominence for his investigative reporting on the Israel-Palestine conflict. He has contributed to publications such as 'The Guardian,' 'New Statesman,' and 'Tribune.' Jones is recognized for his influential books and his role as a left-wing activist, making a significant impact on British media and politics.",individual,"Israel Palestine conflict, UK news, socialism, politics, journalism, inequality, activism, Corbynism, Labour Party, class struggle, progressive, left-wing, working class, media critique, British politics, economic justice, social justice",https://en.wikipedia.org/wiki/Owen_Jones_(writer),https://twitter.com/OwenJones84
Popular Resistance,https://popularresistance.org,https://www.youtube.com/@PopularResistanceOrg,"Provides a daily stream of resistance news from across the United States and around the world. They are involved in organizing campaigns and participating in coalitions on a broad range of issues. Popular Resistance does not use advertising or underwriting to support its work, relying instead on donations​.","Funded by The Alliance for Global Justice, Nonprofit, Grassroots Movement","Peace, Justice, Economic Fairness, Environmental Protection",https://en.wikipedia.org/wiki/Popular_Resistance_(organization),https://twitter.com/PopResistance
Project Censored,https://www.projectcensored.org,https://www.youtube.com/@ProjectCensored,"Project Censored, free press, democratic self-government, news censorship, independent investigative journalism, media literacy, critical thinking, informed public, government participation","Project Censored is a nonprofit organization that promotes critical media literacy and independent journalism. Their mission includes educating students and the public about the importance of a free press for democratic self-government. They focus on exposing and opposing news censorship while promoting independent investigative journalism, media literacy, and critical thinking. They also provide comprehensive educational materials and engage in various multimedia content creation to support their mission​","Media Literacy, Independent Journalism, Democracy, Underreported News, Media Ownership Concentration, News Deserts, Digital Divide, Misinformation, Disinformation, Independent Investigative Journalism, Media Censorship, Press Freedom, Critical Thinking in News Evaluation",https://en.wikipedia.org/wiki/Project_Censored,https://twitter.com/ProjectCensored
ProPublica,https://www.propublica.org/,https://www.youtube.com/@ProPublica,"ProPublica is an independent, nonprofit newsroom that produces investigative journalism in the public interest. Our work focuses exclusively on truly important stories, stories with “moral force.” We do this by producing journalism that shines a light on exploitation of the weak by the strong and on the failures of those with power to vindicate the trust placed in them. ","Nonprofit. Funded primarily by donations from individuals. Also accepts ads and sponsorship. Viewpoint: exposing abuses of power and betrayals of the public trust by government, business, and other institutions.","Racial Justice, Health Care, Education, Criminal Justice, Civil Rights, Courts, Debt, Democracy, Environment, Health Insurance, Immigration, Labor, Mental Health, Military, Police, Politics, Pregnancy, Prison, Regulation, Sex and Gender, Technology, Trump Administration",https://en.wikipedia.org/wiki/ProPublica,https://twitter.com/propublica
Public Citizen,https://www.citizen.org/,https://www.youtube.com/@PublicCitizen,Consumer advocacy,"Nonprofit. Funded by donations, grants, publications and subscriptions, and income from programs, rent, and investments. Viewpoint: defending democracy, resisting corporate power.","Democracy Defense, Government Accountability, Consumer & Worker Safeguards, Health Care, Globalization & Trade, Climate & Energy, Justice & Courts",https://en.wikipedia.org/wiki/Public_Citizen,https://twitter.com/Public_Citizen
PushBlack,https://www.pushblack.us/,https://www.youtube.com/@PushBlack,Black news and history,"Nonprofit. Funded by subscriptions, donations, and grants. Viewpoint: news and history most relevant to Black people worldwide.","Black History, Black News, Criminal Justice Reform, Voting Campaigns, Economic Justice Policy, Community Empowerment",n/a,https://twitter.com/PushBlackNow
Quanta Magazine,https://www.quantamagazine.org/,https://www.youtube.com/@QuantaScienceChannel,Journalism about new discoveries in science and math,"Owned and funded by the Simons Foundation, a private foundation that funds math and science research. Editorially independent.","Mathematics, Theoretical Physics, Theoretical Computer Science, Basic Life Sciences",https://en.wikipedia.org/wiki/Quanta_Magazine,https://twitter.com/QuantaMagazine
Religion News Service,https://religionnews.com/,n/a,Secular reporting on religion,Nonprofit. Affiliated with the Missouri School of Journalism at the University of Missouri. Viewpoint: progressive.,Nonprofit,https://en.wikipedia.org/wiki/Religion_News_Service,https://twitter.com/RNS
